route,stop,scheduled_hour,actual_hour,delay_min,passenger_count,incident_flag
R3,S5,11,11,3.8346579409645245,35,0
R2,S3,19,20,2.130581955211383,41,0
R1,S3,15,16,2.28376712346703,18,0
R3,S3,12,13,1.6255255015088144,10,0
R1,S2,11,11,2.7335862508123334,11,0
R2,S2,15,16,1.2452054173739455,44,0
R3,S4,15,15,0.16077895322022595,28,0
R2,S5,8,8,2.6715079862554907,54,0
R2,S2,12,12,4.969076707121452,8,0
R1,S1,7,8,1.5650839004499815,59,0
R3,S1,6,7,0.4381922943090677,29,0
R1,S5,16,17,4.873463030989088,7,0
R2,S1,10,11,2.0683410465797767,32,0
R3,S1,6,7,3.416837423739781,27,0
R2,S5,5,6,0.9065512670168752,40,0
R1,S2,16,17,2.014655851029862,59,0
R1,S2,16,16,4.100831579751203,52,0
R2,S4,21,22,2.196158703416296,17,0
R1,S2,14,14,2.214803288744573,26,0
R1,S1,20,20,0.0,29,0
R2,S1,19,20,3.180550207924771,59,0
R3,S4,19,20,0.8211768153875476,47,0
R3,S5,16,16,3.6795506008604373,28,0
R3,S1,7,7,2.3035718406339636,47,0
R2,S2,9,10,2.436828682643324,41,0
R2,S2,11,11,3.158812728576979,56,0
R1,S2,13,13,2.562904173564947,37,0
R3,S1,11,11,4.577680123354144,18,0
R1,S3,22,22,4.340057898287532,28,0
R2,S1,8,9,0.17413415955929845,26,0
R3,S1,18,19,1.7439319981152175,56,0
R2,S3,22,22,3.2548023208706174,55,0
R1,S3,13,13,0.5860955569797444,41,0
R1,S2,6,6,0.0,56,0
R2,S2,19,20,0.8596931318669256,27,0
R2,S2,11,12,1.827251890720053,10,0
R3,S1,16,16,0.0,23,0
R2,S5,12,12,0.32916552055317805,16,0
R1,S4,19,19,0.0,30,0
R1,S5,7,8,3.7200084021927244,33,0
R2,S3,18,18,3.3972182399794777,18,0
R2,S1,21,21,2.417845534040572,21,0
R3,S1,8,8,2.150017811182071,34,0
R1,S4,22,22,2.8172102619041604,11,0
R1,S5,12,12,0.5024972157557417,25,0
R1,S3,8,9,3.879333493120487,5,0
R2,S4,6,7,2.1395319323321473,53,0
R1,S1,10,11,3.3763989053894448,42,0
R2,S4,14,14,3.3146230496969595,8,0
R3,S2,8,9,2.801171702445904,50,0
R2,S5,22,22,2.4693769833517574,12,0
R3,S3,16,17,2.35765976658251,22,0
R3,S2,6,7,1.9055346202782617,56,0
R2,S5,14,14,2.7244351006761196,49,0
R3,S2,8,8,2.309313812461758,12,0
R2,S4,18,18,1.2694687054482408,35,0
R1,S3,20,21,2.914572092980265,35,0
R2,S4,19,19,2.420750034379749,32,0
R3,S4,12,13,3.8146822817657156,52,0
R3,S5,18,19,0.0,41,0
R1,S3,12,13,2.0543308556979003,7,0
R2,S3,20,20,0.9126456106100413,49,0
R1,S4,17,17,1.223565883368746,19,0
R3,S3,22,22,2.839622041384854,8,0
R2,S1,19,20,0.0,39,0
R3,S3,17,18,2.1997034693748585,38,0
R2,S4,13,13,2.045659343592169,40,1
R1,S1,19,20,0.4250756331040595,10,0
R1,S1,17,18,2.237109345636864,8,0
R3,S5,5,6,0.8576702368606832,53,0
R1,S4,11,11,5.296225581581872,34,0
R1,S3,13,14,3.80294995177744,43,0
R3,S1,5,6,2.100889939287346,22,1
R3,S4,16,16,1.3523772119136925,26,0
R3,S5,12,12,2.756075506602893,14,0
R2,S2,15,15,3.151213876721277,53,0
R3,S2,21,21,2.3817988846814577,33,0
R2,S3,12,12,0.47727869543834633,27,0
R3,S2,7,7,1.6856183506956255,8,0
R2,S1,7,8,2.117019611683384,23,0
R3,S1,5,6,2.4354125261888036,30,0
R2,S4,9,10,2.4700447267126533,11,0
R1,S3,14,15,3.0962483527923874,17,0
R3,S4,11,11,4.012580433080172,7,0
R3,S4,13,14,3.518845560044041,44,0
R2,S3,11,11,2.885479768560774,15,0
R1,S4,13,13,0.11344401333071108,20,0
R1,S2,12,13,3.7795148535240655,24,0
R2,S5,16,17,3.2282095281604657,55,0
R3,S4,6,6,1.616313082303985,27,0
R1,S1,5,5,2.044608546434233,27,0
R3,S1,20,20,2.098371457055267,36,0
R2,S2,9,9,1.3432665133545134,45,0
R3,S4,7,8,0.0,46,0
R1,S4,16,16,0.32518603497869325,59,0
R2,S3,12,13,0.6402390717532844,42,0
R1,S4,7,7,0.0,7,0
R3,S4,5,5,0.33010059681138637,56,0
R3,S1,7,7,3.7117991223626032,12,0
R2,S3,9,10,2.728877509188674,42,0
R1,S4,19,19,0.5435227021764648,44,0
R1,S2,18,19,0.9676646632580432,18,0
R1,S4,7,8,3.8437754389111984,12,0
R2,S3,5,6,3.806700812380472,15,0
R3,S2,9,9,2.1048319938041122,46,0
R3,S2,18,19,3.762196540072446,59,0
R3,S2,11,12,0.8511439835809278,46,0
R1,S1,13,13,2.341039880181242,47,0
R2,S1,19,19,0.0,37,0
R1,S2,19,20,1.453519755726557,19,0
R2,S1,14,15,2.0421148017418234,41,0
R1,S2,17,17,0.0,18,0
R2,S2,11,12,2.889674180600487,59,0
R1,S5,21,22,3.1403024489382974,30,0
R1,S1,8,9,3.51667860716653,56,0
R2,S5,9,9,5.501370345969408,12,1
R3,S2,11,12,2.625071523888374,53,0
R3,S2,17,17,1.9038756851467358,8,0
R2,S5,19,19,0.0,40,0
R2,S3,15,15,2.587928647401272,22,0
R3,S2,8,9,2.8391492681121138,31,0
R1,S1,17,17,0.0,23,0
R3,S4,11,12,1.6398690200492005,7,0
R2,S4,6,6,2.0166988890760162,13,0
R1,S4,14,15,2.7942881664920898,43,0
R2,S5,17,18,3.2843621184448253,6,0
R3,S2,10,11,1.195164074283208,13,0
R1,S3,16,16,2.3020412430267285,10,0
R3,S1,16,17,2.8606032233447984,42,0
R3,S4,15,16,1.7273311508298392,32,0
R3,S4,11,11,1.3678065539567035,52,0
R1,S1,5,5,3.068869169915092,38,0
R3,S4,5,6,1.7334262005947818,33,0
R1,S5,17,17,0.20437147767455066,52,0
R3,S2,13,13,4.059563494077202,7,0
R3,S2,7,7,0.37056251450310773,58,0
R2,S3,11,12,1.8582401865963791,20,0
R3,S5,10,10,2.482645339195852,48,0
R1,S3,12,13,2.682812372152471,39,0
R2,S4,13,13,2.2544252100764623,15,0
R1,S2,9,9,0.0,47,0
R3,S3,5,6,0.9462294652649932,27,0
R2,S3,14,14,2.4444355227251524,34,0
R2,S5,16,16,1.8363601875856193,52,0
R2,S4,19,19,2.7674994502488524,9,0
R1,S1,13,13,3.532242479611159,56,0
R2,S5,21,22,2.7600310692787775,12,0
R2,S5,21,22,0.9064764162784211,47,0
R1,S4,16,17,1.192246021666005,47,0
R1,S1,11,12,4.447160602697397,54,0
R1,S5,6,7,1.7313362737192919,55,0
R3,S3,7,8,1.856887727350028,14,0
R1,S3,21,22,2.7648139743601394,32,0
R1,S3,9,9,3.855832464326575,40,0
R2,S3,21,22,0.6481036616301774,14,1
R3,S1,21,22,1.255824832727714,18,0
R2,S4,21,22,0.0,42,0
R1,S4,6,6,1.5554421593701253,41,0
R1,S1,6,7,2.851390046913443,51,0
R2,S4,9,10,1.4536392769230826,9,0
R3,S3,5,6,4.639719384760516,59,0
R3,S1,5,5,2.1743025786437142,10,0
R2,S3,6,7,1.8466013825240146,34,0
R1,S4,16,16,1.471795676268437,23,0
R3,S5,10,10,0.0,56,0
R3,S1,8,8,1.8645015417347626,53,0
R2,S2,15,15,2.5375799196922624,18,0
R3,S2,21,22,1.8228953661167815,15,0
R1,S3,10,10,2.3466699065742684,50,0
R2,S4,9,9,0.9939856453923521,9,0
R3,S3,6,7,0.1329158046218506,49,0
R1,S2,10,10,1.8406869624215014,35,0
R1,S1,15,15,2.3309103844383223,48,0
R2,S3,20,20,1.74696344752681,36,0
R2,S4,20,20,2.305273405577822,28,0
R1,S2,5,5,3.1649637340066845,55,0
R1,S1,13,13,3.1592510738996022,14,0
R3,S3,10,11,3.2860570477634545,17,0
R3,S1,20,21,3.5079890384994696,51,0
R3,S5,7,8,2.7456229115048028,56,0
R3,S2,8,9,2.5344887443595896,17,0
R3,S3,7,7,4.914442152266723,40,0
R2,S1,11,11,3.1754297458112437,26,0
R3,S3,13,13,0.7322495032399423,13,0
R3,S4,5,6,0.0,23,0
R3,S4,12,13,1.6382712616075206,56,0
R1,S3,11,11,2.9371130397222576,58,0
R3,S2,22,22,3.43842516117536,58,0
R2,S3,12,13,0.12428878459476955,11,0
R1,S3,5,6,3.094132907525504,19,0
R1,S3,15,16,3.7020290298913423,21,0
R3,S3,22,23,2.913105344137808,50,0
R1,S2,14,14,2.6235882649696802,18,0
R3,S5,7,8,1.8007840867962859,45,0
R3,S5,11,12,1.3099969038322912,52,0
R3,S1,20,20,3.178319479847042,6,0
R2,S2,20,20,2.8750204246122806,18,0
R1,S2,21,21,1.509294430042591,8,0
R1,S2,6,7,5.8131595230048205,7,0
R1,S4,5,6,0.0,7,0
R1,S2,20,21,1.6518031207965171,15,0
R1,S4,16,17,0.8429041768349084,9,0
R3,S5,9,9,2.576263822006496,52,0
R3,S5,9,9,0.0,59,0
R3,S4,13,14,3.903899409387392,33,0
R2,S3,13,14,3.5081755026171177,32,0
